Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Bio,Medalla
Portugal Wine Trophy 2022,Alpha,2017,Vesztergombi Bt,Hungría,Pannon,Vino tranquilo,Seco,tanque de acero,tinto,"Shiraz, Cabernet Sauvignon, Merlot, Cabernet Franc","15,51","5,1","1,8",0,70,No,Gold
Portugal Wine Trophy 2022,Castelo de Azurara,2017,"Adega Cooperativa de Mangualde, CRL.",Portugal,Dão,Vino tranquilo,Seco,tanque de acero,tinto,Touriga Nacional,"13,55","5,77","1,3",119,"7,99",No,Silver
Portugal Wine Trophy 2022,Castelo de Azurara,2017,"Adega Cooperativa de Mangualde, CRL.",Portugal,Dão,Vino tranquilo,Seco,tanque de acero,tinto,Alfrocheiro,"14,1","5,37","1,6",126,"7,99",No,Gold
Portugal Wine Trophy 2022,Paixão Natural,2020,Fundação ADFP,Portugal,Beiras,Vino tranquilo,Seco,tanque de acero,tinto,"Aragonez, Baga, Tourica National",15,"6,5","1,2",60,"7,5",No,Gold
Portugal Wine Trophy 2022,Caves Santa Marta  Touriga Nacional  Reserva,2015,"Caves Santa Marta, Vinhos e Derivados, CRL",Portugal,Douro,Vino tranquilo,Seco,tanque de acero,tinto,Touriga Nacional,"13,8","5,6","0,6",74,"14,69",No,Gold
Portugal Wine Trophy 2022,Conde Guião  Reserva,2018,"Caves Santa Marta, Vinhos e Derivados, CRL",Portugal,Douro,Vino tranquilo,Seco,tanque de acero,tinto,"Touriga Nacional, Tinta Roriz",15,"6,1","0,6",50,15,No,Gold
Portugal Wine Trophy 2022,Apaixonado Touriga Nacional,2017,"Ávidos Douro, Lda",Portugal,Douro,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Touriga Nacional,"14,7","5,2","0,8",87,"23,9",No,Gold
Portugal Wine Trophy 2022,Caves Santa Marta Porto 10 Anos,sin añada,"Caves Santa Marta, Vinhos e Derivados, CRL",Portugal,Douro,Vino de Oporto,semi dulce,tanque de acero,tinto,"Tinta Roriz, Touriga Franca, Tinta Amarella, Tinto Cao, Tinta Barroca, Touriga Nacional","19,6","4,7",103,66,"19,77",No,Gold
Portugal Wine Trophy 2022,La Bestia Garnacha,2019,Artiga Fustel S.L.,España,Aragonien,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Garnacha,"15,5","0,65","5,9",60,"9,95",No,Gold
Portugal Wine Trophy 2022,Requevin Tinto,2021,Bodegas Coviñas,España,Valencia,Vino tranquilo,Seco,tanque de acero,tinto,"Bobal, Tempranillo","12,5","5,05","4,5",98,"2,2",No,Gold
Portugal Wine Trophy 2022,Aula Tinto,2021,Bodegas Coviñas,España,Valencia,Vino tranquilo,Seco,tanque de acero,tinto,"Bobal, Tempranillo","12,5",5,"4,5",92,"2,2",No,Gold
Portugal Wine Trophy 2022,Enterizo Tinto,2021,Bodegas Coviñas,España,Valencia,Vino tranquilo,Seco,tanque de acero,tinto,"Bobal, Tempranillo","12,5",5,"4,4",9,"2,2",No,Gold
Portugal Wine Trophy 2022,PORTWEIN TAWNY MARQUES CAMPOALTO,sin añada,Romariz - Quinta and Vineyard Bottlers,Portugal,Douro,Vino licoroso,Dulzura natural,maduración en barrica - parcialmente,tinto,"Tinta Roriz, Tourica National, Tinta Cao, Tinta Amarella, Touriga Francesa, Tinta Barocca",19,"4,2",98,104,No especificado,No,Silver
Portugal Wine Trophy 2022,PORTWEIN TAWNY RESERVE - MARQUÉS CAMPOALTO,sin añada,Romariz - Quinta and Vineyard Bottlers,Portugal,Douro,Vino licoroso,Dulzura natural,maduración en barrica de madera,tinto,"Tinta Roriz, Tinta Barocca, Tinta Cao, Tinta Amarella, Touriga Francesa, Tourica National",20,4,110,61,No especificado,No,Gold
Portugal Wine Trophy 2022,MADEIRAWEIN - MARQUÉS CAMPOALTO,sin añada,"Henriques & Henriques Vinhos, S.A.",Portugal,Madeira,Vino licoroso,semi dulce,maduración en barrica - parcialmente,tinto,Tinta Negra,"19,07","4,19",94,49,No especificado,No,Silver
Portugal Wine Trophy 2022,El Carisma Reserva,2014,Bodega Fernando Castro,España,Kastilien-La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Syrah, Mazuela, Garnacha, Tempranillo","13,83","3,28","2,2",141,No especificado,No,Gold
Portugal Wine Trophy 2022,FOZ TORTO VINHAS VELHAS TINTO,2016,FOZ TORTO -VINHOS E ENOTURISMO LDA,Portugal,Douro,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Vinhas Velhas com mais 60 anos, com mistura de castas indigenas do Douro","14,5","4,08","0,6",103,30,No,Gold
Portugal Wine Trophy 2022,FOZ TORTO TINTO,2018,FOZ TORTO -VINHOS E ENOTURISMO LDA,Portugal,Douro,Vino tranquilo,Seco,tanque de acero,tinto,"Tinta Francisca, Alicante Bouschet, Souzao, Tinta Roriz, Tinta Barroca, Touriga Nacional, Touriga Franca","14,5","5,4","0,78",143,13,No,Gold
Portugal Wine Trophy 2022,GRAND`ARTE,2017,DFJ Vinhos,Portugal,LISBOA - ALENQUER,Vino tranquilo,Semi seco,No especificado,tinto,Alicante Bouschet,"13,5","5,25","17,4",0,"8,5",No,Gold
Portugal Wine Trophy 2022,CONSENSUS,2019,DFJ Vinhos,Portugal,LISBOA - ALENQUER,Vino tranquilo,Semi seco,No especificado,tinto,"Pinot Noir, Touriga Nacional","13,5","5,85",12,0,"9,95",No,Gold
Portugal Wine Trophy 2022,GRAND`ARTE,2019,DFJ Vinhos,Portugal,LISBOA - ALENQUER,Vino tranquilo,Semi seco,No especificado,tinto,Touriga Nacional,13,"5,55","16,2",0,"8,5",No,Silver
Portugal Wine Trophy 2022,ALWAYS on FRIDAY,2020,DFJ Vinhos,Portugal,LISBOA - ALENQUER,Vino tranquilo,Semi seco,No especificado,tinto,Pinot Noir,13,"5,78","15,8",0,"8,95",No,Gold
Portugal Wine Trophy 2022,BIGODE DFJ Blend,2020,DFJ Vinhos,Portugal,,Vino tranquilo,Semi seco,No especificado,tinto,"Tinta Roriz, Alicante Bouschet, Touriga Nacional, Cabernet Sauvignon, Pinot Noir, Caladoc, Castelão","12,5","5,92","14,5",0,6,No,Silver
Portugal Wine Trophy 2022,Bridão Alicante Bouschet,2018,Adega Cooperativa do Cartaxo,Portugal,Tejo,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Alicante Bouschet,15,"5,27","0,8",88,"5,4",No,Silver
Portugal Wine Trophy 2022,Bridão Touriga Nacional,2018,Adega Cooperativa do Cartaxo,Portugal,Tejo,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Touriga Nacional,"14,5","5,21","0,8",79,"5,6",No,Gold
Portugal Wine Trophy 2022,Bridão Clássico Tinto,2019,Adega Cooperativa do Cartaxo,Portugal,Tejo,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Aragonez, Castelão, Alicante Bouschet, Syrah, Touriga Nacional","14,5","6,05","1,2",63,"2,4",No,Gold
Portugal Wine Trophy 2022,Bridão Reserva,2018,Adega Cooperativa do Cartaxo,Portugal,Tejo,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Sirah, Touriga Nacional, Aragonez, Alicante Bouschet",15,"5,75","0,8",88,"7,2",No,Gold
Portugal Wine Trophy 2022,Monte Cascas Reserva Douro,2017,"Casca Wines, Produção e Comercialização de Vinhos S.A",Portugal,Douro,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Tinta Roriz, Touriga Franca, Touriga Nacional",14,"5,7","0,6",54,11,No,Gold
Portugal Wine Trophy 2022,"Cabo da Roca Reserva ""Syrah"" Regional Lisboa",2020,"Casca Wines, Produção e Comercialização de Vinhos S.A",Portugal,Lisboa,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Syrah,14,"5,22","0,6",143,9,No,Gold
Portugal Wine Trophy 2022,DO Catalunya Barrique Aldi,2020,Bodegas Jaume Serra,España,D.O. Catalunya,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Garnacha, Tempranillo",13,"5,4","1,5",110,4,No,Gold
Portugal Wine Trophy 2022,Pata Negra Roble Mancha,2020,J. García Carrión La Mancha,España,La Mancha,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Tempranillo,"13,5","5,2",4,60,6,No,Silver
Portugal Wine Trophy 2022,Don Luciano Crianza,2018,J. García Carrión La Mancha,España,La Mancha,Vino tranquilo,Seco,tanque de acero,tinto,Tempranillo,13,"5,1","1,5",112,4,No,Gold
Portugal Wine Trophy 2022,Pata Negra Apasionado,sin añada,Bodegas 1890,España,Jumilla,Vino tranquilo,Seco,tanque de acero,tinto,"Petit Verdot, Monastrell, Cabernet Sauvignon","14,5","5,2","1,3",80,6,Sí,Gold
Portugal Wine Trophy 2022,Castillo San Simon 12 meses barrica,2014,Bodegas 1890,España,Jumilla,Vino tranquilo,Seco,tanque de acero,tinto,Monastrell,13,"5,2","1,2",110,"3,5",No,Gold
Portugal Wine Trophy 2022,Mayoral Reservado,sin añada,Bodegas 1890,España,Jumilla,Vino tranquilo,Seco,tanque de acero,tinto,"Monastrell, Cabernet Sauvignon","14,5","5,1","1,2",120,6,No,Gold
Portugal Wine Trophy 2022,Castillo San Simon 18 meses barrica,2016,Bodegas 1890,España,Jumilla,Vino tranquilo,Seco,tanque de acero,tinto,Monastrell,13,"5,2","1,2",115,4,No,Gold
Portugal Wine Trophy 2022,Pata Negra Apasionado ECOLOGICO,sin añada,Bodegas 1890,España,Jumilla,Vino tranquilo,Seco,tanque de acero,tinto,Monastrell,"14,5","5,1","1,2",80,6,Sí,Gold
Portugal Wine Trophy 2022,Don Simon Black Edition,sin añada,Bodegas 1890,España,Jumilla,Vino tranquilo,Seco,tanque de acero,tinto,"Monastrell, Tempranillo","13,5","5,2","1,3",80,6,Sí,Silver
Portugal Wine Trophy 2022,Pata Negra Ribera del Duero Crianza,2019,Viña Arnaiz,España,Ribera del Duero,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,14,"5,2","1,7",75,9,No,Silver
Portugal Wine Trophy 2022,Viña Arnaiz Reserva,2018,Viña Arnaiz,España,Ribera del Duero,Vino tranquilo,Seco,tanque de acero,tinto,"Merlot, Tempranillo, Cabernet Sauvignon",14,"5,2","1,4",84,20,No,Silver
Portugal Wine Trophy 2022,Mayor de Castilla Ribera Crianza,2019,Viña Arnaiz,España,Ribera del Duero,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,14,"5,2","1,7",49,6,No,Gold
Portugal Wine Trophy 2022,Viña Arnaiz Crianza,2019,Viña Arnaiz,España,Ribera del Duero,Vino tranquilo,Seco,tanque de acero,tinto,"Merlot, Tempranillo, Cabernet Sauvignon",14,5,"1,5",84,15,No,Silver
Portugal Wine Trophy 2022,Mayor de Castilla Ribera Reserva,2018,Viña Arnaiz,España,Ribera del Duero,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,14,"5,1","1,4",66,9,No,Gold
Portugal Wine Trophy 2022,Pata Negra Ribera del Duero Reserva,2018,Viña Arnaiz,España,Ribera del Duero,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,14,"5,1","1,4",92,12,No,Gold
Portugal Wine Trophy 2022,Viña Arnaiz Gran Reserva,2011,Viña Arnaiz,España,Ribera del Duero,Vino tranquilo,Seco,tanque de acero,tinto,"Cabernet Sauvignon, Tempranillo, Merlot","14,5",6,"1,6",84,30,No,Gold
Portugal Wine Trophy 2022,Pata Negra Rioja Crianza,2018,Marqués de Carrión,España,La Rioja,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,"13,5","5,1","1,5",95,5,No,Gold
Portugal Wine Trophy 2022,Antaño Crianza,2018,Marqués de Carrión,España,La Rioja,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,"13,5","5,1","1,5",95,5,No,Gold
