Volumendealcohol,Acidez,Azúcarresidual,Azufre,Medalla
13.30,4.90,1.00,0.00,Gold
14.38,5.10,1.20,124.00,Gold
15.00,5.30,3.10,70.00,Gold
15.50,5.45,3.30,66.00,Gold
14.50,5.85,0.00,40.00,Gold
14.00,6.00,1.00,100.00,Gold
14.00,5.40,2.80,101.00,Gold
14.50,5.30,3.00,58.00,Gold
14.50,6.20,2.00,112.00,Gold
13.80,5.60,0.60,74.00,Gold
13.68,5.32,2.80,108.00,Gold
13.76,5.25,2.42,113.00,Gold
13.30,4.50,3.50,93.00,Gold
13.50,5.70,0.60,64.00,Gold
13.50,5.25,3.00,78.00,Gold
15.50,5.50,6.70,125.00,Gold
15.00,5.60,6.00,130.00,Gold
15.00,5.35,3.80,76.00,Gold
14.00,5.70,2.85,96.00,Gold
13.61,5.81,7.29,120.00,Gold
13.50,3.55,2.00,0.00,Gold
14.00,3.53,2.00,0.00,Gold
14.50,5.00,3.40,0.00,Gold
13.50,4.90,1.60,58.00,Gold
13.50,5.30,1.25,84.00,Gold
13.50,5.50,1.80,131.00,Gold
13.64,5.94,1.60,9.00,Gold
14.00,5.70,0.60,0.00,Gold
14.50,4.60,2.00,68.00,Gold
13.50,5.39,4.00,78.00,Gold
13.50,5.70,4.00,100.00,Gold
14.00,5.70,4.00,125.00,Gold
15.00,5.21,0.63,42.00,Gold
15.00,5.34,3.50,90.00,Gold
14.00,5.17,2.50,124.00,Gold
15.00,5.30,12.00,145.00,Gold
13.50,0.68,10.50,178.00,Gold
14.00,4.61,0.70,80.00,Gold
13.50,4.80,0.50,85.00,Gold
14.00,6.10,6.90,90.00,Gold
14.00,6.70,4.00,113.00,Gold
13.43,4.67,1.70,87.00,Gold
15.50,0.40,8.91,120.00,Gold
14.50,5.90,1.90,90.00,Gold
14.50,5.10,1.50,107.00,Gold
13.00,5.00,1.50,98.00,Gold
13.90,5.42,2.61,84.00,Gold
0.14,5.43,2.00,0.00,Gold
0.14,5.40,2.00,0.00,Gold
15.00,6.20,4.00,0.00,Gold
16.00,6.60,5.00,0.00,Gold
14.00,3.60,3.00,0.00,Gold
14.00,0.00,2.00,0.00,Gold
14.90,5.60,3.00,120.00,Gold
14.00,0.55,5.80,90.00,Gold
14.00,5.10,8.50,169.00,Gold
14.50,0.00,8.00,0.00,Gold
15.00,5.10,12.00,170.00,Gold
13.50,0.00,10.00,0.00,Gold
0.14,0.00,8.00,0.00,Gold
13.60,5.05,2.90,112.00,Gold
14.00,6.10,0.64,123.00,Gold
14.00,5.60,5.00,0.00,Gold
13.62,5.80,3.50,109.00,Gold
14.10,4.60,1.10,95.00,Gold
13.00,4.90,1.10,77.00,Gold
14.00,5.60,0.67,40.00,Gold
14.50,6.80,3.50,0.00,Gold
13.00,5.30,3.30,94.00,Gold
12.50,5.50,3.00,0.00,Gold
13.58,5.27,0.60,121.00,Gold
13.00,5.30,3.30,94.00,Gold
14.00,0.00,2.00,0.00,Gold
13.50,0.00,2.00,0.00,Gold
14.00,5.00,4.70,190.00,Gold
15.00,5.50,3.90,0.00,Gold
12.00,4.50,4.00,0.00,Gold
14.00,5.80,5.00,0.00,Gold
12.00,4.50,5.00,0.00,Gold
13.00,5.80,0.00,66.00,Gold
13.00,6.20,7.30,0.00,Gold
13.50,5.50,6.00,0.00,Gold
14.50,6.00,1.20,150.00,Gold
14.26,5.30,1.70,95.00,Gold
14.93,4.90,1.80,67.00,Gold
14.45,5.20,1.70,0.00,Gold
13.50,5.70,1.80,114.00,Gold
15.51,5.10,1.80,0.00,Gold
14.00,5.40,1.00,149.00,Gold
13.50,6.00,1.40,134.00,Gold
13.50,5.30,1.20,154.00,Gold
15.00,6.10,1.30,23.00,Gold
14.38,5.30,1.60,85.00,Gold
14.50,4.79,2.64,93.00,Gold
0.15,0.00,2.00,0.00,Gold
14.50,4.90,0.80,77.00,Gold
12.00,6.18,5.00,0.00,Gold
13.50,4.70,4.00,0.00,Gold
13.06,6.10,1.30,20.00,Gold
12.86,5.90,2.80,96.00,Gold
14.20,4.95,3.88,90.00,Gold
14.00,6.59,0.42,74.00,Gold
13.50,0.00,2.00,0.00,Gold
14.00,5.32,3.04,93.00,Grand Gold
14.50,0.00,2.00,0.00,Gold
14.00,0.00,2.00,0.00,Gold
13.60,0.00,2.00,0.00,Gold
14.50,0.00,2.00,0.00,Gold
14.50,6.34,0.39,66.00,Gold
0.14,0.00,2.00,0.00,Gold
13.50,5.20,1.40,108.00,Gold
13.70,5.10,2.97,110.00,Gold
13.30,5.16,2.40,90.00,Gold
14.50,5.40,1.60,75.00,Gold
14.50,5.00,5.00,0.00,Gold
14.50,5.70,2.92,105.00,Gold
13.50,5.21,0.00,0.00,Gold
14.00,5.70,0.70,80.00,Gold
14.21,3.15,9.99,89.00,Gold
13.53,4.90,2.30,86.00,Gold
14.71,4.00,0.40,83.00,Grand Gold
14.50,6.00,2.21,96.00,Gold
13.50,6.93,0.00,110.00,Gold
14.50,5.90,3.00,110.00,Gold
13.50,5.10,2.80,76.00,Gold
14.00,0.00,0.00,0.00,Gold
14.00,5.90,0.00,80.00,Gold
14.50,5.80,2.93,103.00,Gold
15.00,3.50,1.50,90.00,Gold
14.60,6.40,7.00,0.00,Gold
13.54,5.06,3.04,90.00,Gold
14.50,5.00,5.50,0.00,Gold
13.50,0.00,0.00,0.00,Gold
14.00,0.00,0.00,0.00,Gold
15.00,6.00,3.79,102.00,Gold
14.00,0.00,0.00,0.00,Gold
