Volumendealcohol,Acidez,Azúcarresidual,Azufre,Medalla
13.00,5.60,3.33,120.00,Silver
14.50,6.74,12.46,84.00,Gold
14.50,4.73,2.11,25.00,Silver
13.60,5.20,3.20,80.00,Gold
13.70,5.20,3.30,82.00,Gold
13.80,5.30,3.70,86.00,Silver
14.50,5.10,3.30,68.00,Silver
13.40,5.40,2.70,83.00,Gold
14.00,4.86,1.04,83.00,Gold
15.58,70.15,1.30,70.15,Gold
13.00,5.30,2.40,75.00,Silver
14.50,0.00,0.00,0.00,Gold
13.50,5.30,3.00,78.00,Silver
14.00,3.26,0.29,0.00,Silver
14.90,5.80,1.80,34.00,Gold
14.61,4.70,1.50,27.00,Gold
13.50,5.75,3.80,145.00,Gold
13.50,5.38,7.20,140.00,Gold
14.00,5.40,0.10,95.00,Gold
13.50,5.80,0.10,95.00,Gold
13.73,3.29,0.20,71.00,Gold
14.08,3.81,0.40,8.00,Gold
14.00,5.13,0.30,84.00,Gold
13.70,5.10,3.80,64.00,Gold
14.50,5.40,3.10,57.00,Silver
15.00,5.30,1.40,89.00,Gold
13.80,6.11,9.50,71.00,Gold
13.90,5.80,8.50,110.00,Gold
14.00,5.50,5.00,120.00,Gold
14.00,6.00,5.30,135.00,Gold
13.50,5.40,4.60,145.00,Gold
14.50,5.60,0.30,96.00,Gold
14.50,5.60,0.40,129.00,Gold
14.50,5.63,1.82,97.00,Gold
13.00,5.15,1.90,127.00,Silver
15.00,5.80,1.90,71.00,Grand Gold
14.65,3.19,0.65,78.00,Gold
15.00,6.50,1.40,68.00,Gold
15.00,6.50,1.30,130.00,Gold
13.30,5.70,0.70,51.00,Gold
14.00,5.10,1.90,0.00,Gold
14.10,5.38,1.80,92.00,Gold
13.00,5.20,2.80,112.00,Gold
14.50,5.35,0.50,106.00,Gold
14.50,4.90,2.70,110.00,Gold
15.30,5.90,2.00,0.00,Gold
14.00,4.77,1.60,49.00,Silver
14.50,5.07,1.40,0.00,Gold
14.50,5.60,2.50,35.00,Gold
14.00,5.44,1.50,56.00,Silver
14.50,4.18,1.50,0.00,Gold
14.40,4.90,1.70,85.00,Gold
14.00,4.82,2.00,38.00,Gold
13.50,5.50,2.10,95.00,Silver
15.00,5.70,2.20,70.50,Gold
12.70,5.07,3.90,109.00,Gold
15.50,5.45,3.10,85.00,Gold
14.00,5.70,0.40,135.00,Gold
14.00,5.70,0.60,81.00,Gold
13.50,5.50,1.60,116.00,Gold
13.41,5.13,1.11,62.00,Silver
13.44,5.15,1.05,70.00,Silver
14.00,4.47,1.50,65.00,Gold
13.40,5.13,1.11,85.00,Gold
14.00,5.12,0.80,96.00,Gold
14.48,4.60,2.00,46.00,Gold
13.50,3.53,0.34,96.00,Gold
13.00,5.10,3.60,100.00,Gold
13.00,5.10,3.60,880.00,Silver
13.00,5.15,3.40,880.00,Silver
12.50,5.10,4.00,103.00,Gold
13.10,5.20,1.60,74.00,Gold
14.50,5.20,1.40,54.00,Gold
14.00,6.10,8.20,92.00,Gold
15.00,6.81,13.90,113.00,Gold
14.50,5.85,4.00,103.00,Silver
14.00,5.20,4.00,100.00,Gold
14.00,5.80,4.00,120.00,Silver
14.20,3.70,2.05,0.15,Gold
14.40,3.72,2.36,0.15,Gold
13.00,6.00,1.00,45.00,Gold
13.90,5.40,1.00,59.00,Gold
13.50,5.23,2.38,66.00,Silver
14.00,5.50,6.50,120.00,Gold
14.65,5.40,4.50,100.00,Gold
14.50,5.50,7.30,115.00,Gold
14.50,3.52,2.00,66.00,Gold
14.50,3.53,1.90,83.00,Gold
15.00,5.25,0.70,100.00,Gold
13.50,5.25,2.10,100.00,Gold
14.50,5.70,2.00,122.00,Gold
14.00,5.00,1.40,98.00,Gold
13.60,5.20,2.00,45.00,Gold
14.50,5.20,2.30,105.00,Gold
13.50,5.30,2.30,98.00,Gold
14.30,5.39,8.84,110.00,Gold
16.00,4.00,5.00,80.00,Gold
15.00,5.60,5.50,103.00,Gold
15.50,5.26,3.89,53.00,Gold
15.50,3.42,4.00,90.00,Gold
15.00,5.84,5.90,164.00,Gold
15.00,5.60,5.50,103.00,Gold
14.00,4.95,2.70,88.00,Gold
15.00,5.01,2.30,129.00,Gold
15.05,2.96,0.70,55.00,Gold
14.50,3.59,0.60,61.00,Gold
13.55,3.36,0.32,81.00,Silver
14.00,5.26,1.14,0.00,Gold
13.50,5.28,1.00,105.00,Gold
13.50,5.00,3.10,0.00,Gold
13.45,4.65,6.00,70.00,Gold
13.90,5.00,0.90,75.00,Gold
14.50,4.74,1.50,35.00,Gold
14.50,5.30,2.60,90.00,Silver
14.50,4.90,4.00,200.00,Gold
14.00,3.18,0.20,59.00,Gold
14.00,3.18,0.20,58.00,Gold
14.10,3.37,0.30,61.00,Gold
14.50,5.70,3.30,0.64,Silver
14.20,5.22,0.80,0.27,Silver
14.50,6.02,0.40,58.00,Gold
14.00,3.00,4.00,80.00,Gold
14.00,5.50,6.80,100.00,Gold
14.00,5.37,2.84,70.00,Gold
13.50,3.42,4.00,60.00,Silver
14.00,5.54,5.30,170.00,Gold
14.20,6.15,1.60,48.00,Silver
14.40,5.50,3.10,122.00,Gold
14.30,5.00,2.80,125.00,Gold
13.75,5.11,7.10,112.00,Silver
13.50,5.10,1.00,137.00,Gold
14.50,3.15,2.40,78.00,Gold
14.50,5.30,2.10,138.00,Gold
14.50,6.20,3.10,112.00,Gold
14.00,5.62,1.25,0.00,Gold
14.00,3.20,2.00,2.00,Gold
13.50,5.05,1.00,141.00,Gold
14.50,5.20,1.10,55.00,Gold
14.50,5.50,0.60,131.00,Silver
13.50,5.40,0.70,0.00,Gold
13.00,5.10,2.00,115.00,Silver
15.43,54.04,0.17,54.04,Gold
14.86,68.92,0.07,68.92,Gold
13.87,7.32,2.60,101.00,Gold
14.10,5.53,2.72,121.00,Gold
14.50,4.90,2.00,80.00,Gold
13.98,5.76,6.18,75.00,Silver
14.00,5.39,1.77,80.00,Silver
14.00,3.37,3.53,0.00,Gold
15.50,6.80,5.80,0.00,Gold
16.00,7.10,5.80,0.00,Gold
12.50,5.20,4.00,130.00,Silver
12.50,5.20,4.00,130.00,Silver
13.50,5.60,2.00,102.00,Gold
14.19,4.50,3.00,63.00,Silver
14.00,5.10,2.00,90.00,Gold
14.00,6.30,1.10,90.00,Gold
16.00,5.80,2.80,0.00,Gold
15.00,6.00,4.00,0.00,Gold
15.00,5.90,3.60,0.00,Gold
15.00,5.80,3.50,0.00,Gold
15.30,6.00,3.20,0.00,Gold
15.00,6.20,4.00,0.00,Gold
15.00,6.20,4.00,0.00,Gold
13.00,5.30,2.00,65.00,Silver
13.00,4.80,3.96,0.00,Gold
14.70,4.50,2.80,106.00,Gold
13.50,4.70,2.80,133.00,Gold
14.00,4.70,1.20,104.00,Gold
13.20,5.30,2.20,73.00,Gold
13.50,5.10,2.20,49.00,Gold
14.00,5.08,2.17,0.00,Gold
14.00,4.90,3.22,0.00,Gold
13.50,5.10,1.10,32.00,Silver
14.00,5.60,1.40,45.00,Gold
13.50,4.40,4.40,90.00,Gold
13.00,4.70,1.40,95.00,Silver
14.60,5.20,1.00,71.00,Gold
13.00,6.03,1.00,110.00,Gold
13.50,5.90,2.70,117.00,Gold
13.50,5.60,2.00,119.00,Gold
13.50,5.60,4.90,74.00,Gold
13.68,5.30,2.40,73.00,Gold
14.00,6.20,7.80,100.00,Gold
14.00,11.00,5.60,0.00,Gold
0.13,5.60,2.20,113.00,Silver
14.50,5.50,1.60,158.00,Silver
13.30,4.80,3.50,90.00,Gold
14.00,5.30,0.80,120.00,Gold
14.50,0.65,0.50,0.96,Gold
13.50,3.60,7.50,137.00,Gold
14.50,0.59,1.51,99.00,Gold
15.00,0.00,0.00,0.00,Gold
14.50,5.80,0.90,4.00,Gold
14.00,5.20,4.00,102.00,Gold
14.50,0.00,0.00,0.00,Silver
13.50,0.00,0.00,0.00,Gold
13.50,4.60,5.20,0.00,Gold
14.45,5.60,2.00,100.00,Gold
14.00,5.20,4.00,100.00,Silver
14.50,5.40,1.60,95.00,Silver
0.00,0.00,0.00,0.00,Silver
13.00,4.90,2.70,124.00,Gold
14.50,0.00,0.00,0.00,Gold
13.50,5.50,4.00,100.00,Gold
14.50,0.00,0.00,0.00,Gold
13.79,5.31,2.90,119.20,Gold
13.90,5.16,2.40,122.00,Gold
13.83,5.30,2.30,118.60,Grand Gold
13.85,5.16,3.10,117.00,Grand Gold
13.50,3.00,1.50,100.00,Gold
13.50,0.00,0.00,0.00,Gold
14.23,5.20,1.80,51.00,Gold
13.00,5.10,1.70,138.00,Gold
14.00,5.40,3.20,110.00,Gold
14.10,5.10,3.90,115.00,Gold
13.50,11.50,5.80,0.00,Gold
13.50,5.60,8.00,115.00,Gold
13.80,5.90,1.10,0.00,Gold
13.95,5.10,1.70,80.00,Silver
14.50,5.50,4.00,65.00,Gold
13.50,5.60,2.60,90.00,Gold
13.00,5.10,2.50,140.00,Gold
13.24,5.10,1.50,136.00,Silver
13.90,5.60,3.80,133.00,Gold
0.00,0.00,0.00,0.00,Gold
12.50,6.50,8.50,0.00,Gold
14.00,6.90,8.60,0.00,Gold
14.00,5.60,7.50,0.00,Gold
12.50,6.20,8.10,0.00,Gold
15.00,6.10,3.50,105.00,Gold
14.00,5.85,4.50,115.00,Gold
15.00,5.60,5.50,168.00,Grand Gold
15.00,5.50,5.70,183.00,Gold
14.60,6.40,7.00,0.00,Gold
14.70,6.90,5.10,0.00,Gold
14.50,6.10,4.00,0.00,Gold
14.00,4.90,2.70,130.00,Gold
14.00,5.74,0.00,100.00,Gold
14.50,6.34,0.00,90.00,Gold
14.00,3.80,1.60,85.00,Gold
14.50,3.50,1.50,90.00,Grand Gold
15.00,5.70,2.91,100.00,Gold
14.00,5.80,8.17,114.00,Gold
14.00,5.11,1.10,39.00,Gold
13.00,5.50,8.32,101.00,Gold
13.00,5.60,8.46,116.00,Gold
14.00,5.70,4.91,96.00,Gold
15.00,3.20,3.20,124.00,Silver
13.00,4.90,1.00,0.00,Silver
13.50,5.40,0.90,0.00,Gold
15.00,4.80,1.20,47.00,Silver
13.90,5.20,1.20,109.00,Gold
14.00,6.30,4.30,0.00,Gold
15.00,6.00,5.70,0.00,Gold
12.90,4.80,3.70,136.00,Gold
14.40,6.70,2.90,0.00,Gold
14.00,4.80,2.10,0.00,Gold
13.53,5.56,8.01,125.44,Gold
13.50,4.40,2.20,36.00,Gold
13.65,5.54,0.60,42.00,Gold
13.50,4.80,3.60,0.00,Gold
13.26,4.89,4.90,0.00,Gold
14.40,5.30,4.80,0.00,Gold
14.90,5.60,3.80,0.00,Gold
14.60,5.10,2.42,134.00,Gold
14.50,3.65,3.19,142.00,Gold
13.00,6.08,0.60,141.00,Gold
13.63,5.26,1.82,74.00,Gold
13.00,6.00,3.00,70.00,Silver
14.50,0.00,0.00,0.00,Gold
14.42,5.26,0.60,71.00,Gold
14.22,5.11,0.60,55.00,Gold
14.19,5.20,0.60,63.00,Gold
15.00,6.00,3.00,0.00,Gold
14.00,5.00,6.60,0.00,Gold
15.50,6.00,2.80,0.00,Gold
13.50,5.70,0.50,85.00,Gold
14.00,5.80,2.00,74.00,Gold
14.00,6.40,7.20,90.00,Gold
13.50,6.00,9.30,0.86,Silver
14.40,2.99,2.94,91.00,Gold
14.50,5.51,0.42,0.00,Gold
14.00,5.28,11.90,1.50,Gold
13.00,3.40,4.00,1.50,Gold
14.00,3.40,2.00,1.50,Gold
13.50,5.00,2.00,40.00,Silver
14.00,5.40,2.90,95.00,Gold
14.00,5.60,1.80,56.00,Gold
14.50,6.10,6.00,100.00,Gold
14.00,6.20,0.00,45.00,Gold
14.30,5.25,1.30,130.00,Gold
14.50,5.45,1.20,130.00,Gold
14.80,4.61,1.80,102.00,Gold
15.01,5.50,7.70,130.00,Gold
15.00,5.35,9.00,130.00,Gold
13.50,5.30,8.20,132.00,Gold
13.50,5.30,7.00,132.00,Gold
14.61,6.70,0.83,83.00,Gold
14.64,7.20,0.84,100.00,Gold
15.12,7.32,1.21,82.00,Grand Gold
14.05,6.91,4.10,74.00,Gold
14.43,7.80,0.17,84.00,Gold
15.00,5.70,9.04,94.00,Gold
14.01,5.00,3.20,90.00,Gold
14.40,4.80,1.70,85.00,Gold
14.80,5.06,1.60,75.00,Gold
14.50,5.73,4.06,121.00,Silver
13.50,4.95,2.45,70.00,Silver
14.50,5.23,1.03,107.00,Gold
13.00,2.26,3.00,81.60,Gold
13.50,4.83,0.60,115.00,Gold
13.50,4.10,3.00,125.00,Gold
13.50,5.60,4.00,140.00,Gold
13.00,5.60,8.00,140.00,Gold
13.00,5.60,8.00,140.00,Gold
14.30,5.80,2.00,110.00,Gold
14.00,5.78,1.30,60.00,Gold
13.00,5.75,1.80,80.00,Gold
14.40,4.70,3.90,56.00,Gold
14.20,4.30,3.20,97.00,Gold
14.00,4.50,2.60,165.00,Gold
13.50,4.30,4.20,113.00,Silver
13.00,4.20,3.00,103.00,Gold
14.70,4.40,3.30,131.00,Silver
14.00,4.60,4.20,81.00,Gold
15.50,5.80,8.00,90.00,Gold
16.00,5.95,3.80,125.00,Gold
14.50,5.83,4.50,120.00,Gold
13.32,4.90,1.70,145.00,Gold
12.50,4.70,2.60,94.00,Gold
12.50,4.20,3.80,81.00,Gold
13.40,3.14,2.50,28.00,Silver
16.00,4.36,3.20,50.00,Gold
14.60,2.90,0.00,35.00,Gold
15.00,1.30,1.30,70.00,Gold
15.00,4.70,0.65,59.00,Gold
14.50,5.60,1.34,63.00,Gold
13.50,6.50,3.24,52.00,Silver
14.50,5.60,1.34,86.00,Gold
14.50,6.10,3.41,71.00,Gold
13.00,3.53,0.10,70.00,Gold
14.00,5.50,1.40,99.00,Gold
13.47,3.30,0.50,0.00,Gold
13.50,3.30,0.30,86.00,Silver
14.45,3.46,2.37,37.00,Gold
15.10,5.80,5.55,0.06,Gold
13.80,5.60,6.40,153.00,Gold
15.60,5.80,5.60,116.00,Gold
15.10,7.20,1.70,42.00,Silver
14.00,5.60,6.00,151.00,Silver
13.50,5.33,0.30,95.00,Gold
14.50,5.48,0.60,103.00,Gold
14.50,5.59,0.50,133.00,Gold
13.55,5.00,1.70,109.00,Gold
14.00,5.77,0.60,49.00,Gold
12.98,5.00,0.20,102.00,Gold
13.50,5.50,1.80,0.00,Silver
13.00,5.90,4.50,0.00,Gold
14.00,5.90,7.90,0.00,Gold
13.50,5.40,0.00,125.00,Gold
14.00,5.20,1.70,49.00,Gold
14.50,5.30,1.60,98.00,Grand Gold
14.00,5.20,1.70,75.00,Gold
14.00,5.20,1.80,65.00,Gold
14.50,5.30,1.60,98.00,Silver
13.00,5.10,1.50,112.00,Gold
12.50,5.20,1.50,56.00,Gold
13.00,5.20,1.20,110.00,Gold
14.50,5.10,1.20,80.00,Gold
12.50,5.10,1.20,98.00,Gold
13.00,5.20,1.20,115.00,Gold
13.00,5.20,1.40,110.00,Gold
13.00,5.50,1.30,130.00,Gold
13.00,5.40,1.50,70.00,Gold
13.00,5.40,1.50,70.00,Silver
13.50,5.10,1.50,120.00,Gold
13.50,5.10,1.50,95.00,Silver
13.50,5.30,1.50,100.00,Gold
13.68,5.41,6.30,149.00,Gold
14.50,5.56,1.00,79.00,Gold
14.50,5.30,1.40,137.00,Gold
14.50,5.64,2.10,25.00,Silver
14.00,5.40,1.60,76.00,Grand Gold
14.40,5.40,1.60,62.00,Gold
13.50,5.20,1.20,70.00,Gold
13.50,5.70,1.20,85.00,Gold
13.71,5.65,5.50,120.44,Gold
13.18,5.58,6.13,155.46,Gold
15.65,6.75,7.70,115.45,Gold
14.52,5.80,3.70,149.00,Gold
14.00,5.02,2.10,0.00,Gold
13.80,5.20,1.00,80.00,Gold
14.25,5.80,5.00,110.00,Gold
14.00,4.81,1.52,98.00,Gold
14.00,5.07,0.78,95.00,Gold
13.50,4.60,2.48,101.00,Gold
15.00,0.00,0.20,82.00,Gold
15.00,4.50,1.37,55.00,Grand Gold
14.30,3.51,2.71,0.00,Gold
13.00,4.80,5.10,80.00,Gold
13.54,3.82,3.43,0.08,Gold
14.11,4.10,2.80,0.10,Gold
13.43,3.33,3.20,0.12,Gold
14.16,5.40,3.30,66.00,Gold
13.50,4.92,2.30,45.00,Gold
14.50,5.20,5.20,90.00,Gold
13.50,5.30,5.20,90.00,Gold
13.50,5.30,5.30,90.00,Gold
14.50,5.60,2.20,17.00,Gold
13.50,5.40,1.40,80.00,Gold
13.50,5.50,1.50,83.00,Gold
13.00,5.70,1.70,80.00,Gold
15.04,5.30,0.40,108.00,Gold
13.50,5.03,7.20,134.00,Gold
16.00,5.03,7.20,140.00,Grand Gold
14.00,5.40,2.70,127.00,Gold
13.00,4.60,3.00,150.00,Gold
15.50,5.50,0.80,93.00,Silver
14.50,5.40,0.60,80.00,Gold
14.50,0.71,0.67,123.00,Gold
14.50,0.73,0.53,107.00,Grand Gold
14.50,0.74,0.65,91.00,Gold
13.32,4.80,0.80,93.00,Gold
15.00,5.17,1.88,94.00,Gold
14.00,8.40,1.20,1.50,Gold
13.00,3.50,2.00,1.50,Gold
13.00,3.50,2.00,1.50,Gold
13.00,3.60,2.00,1.50,Gold
13.00,3.80,2.00,1.50,Gold
13.00,5.50,2.00,1.50,Gold
13.00,5.50,2.00,1.50,Gold
13.50,3.00,3.00,1.50,Gold
14.00,5.00,3.50,1.50,Gold
13.00,3.30,3.90,1.50,Gold
13.00,3.30,3.90,1.50,Gold
13.00,3.50,2.50,1.50,Gold
14.00,5.22,1.40,110.00,Gold
13.50,5.00,2.50,85.00,Gold
14.00,5.20,2.30,0.00,Gold
14.00,3.36,2.99,22.00,Gold
13.50,5.70,3.00,0.00,Gold
14.00,4.90,3.80,51.20,Gold
13.50,4.80,3.80,110.00,Gold
13.50,4.62,0.00,75.00,Silver
13.00,4.39,8.83,0.00,Gold
13.00,4.32,6.00,0.00,Silver
13.70,5.20,0.40,50.00,Silver
13.50,5.45,2.50,0.00,Silver
14.50,5.26,0.70,0.00,Gold
14.41,5.61,0.61,76.00,Gold
14.00,3.60,2.50,120.00,Gold
14.50,3.70,2.00,130.00,Gold
14.50,4.89,0.80,64.00,Gold
13.00,5.10,2.00,80.00,Gold
14.00,5.90,3.90,110.00,Gold
13.75,6.20,3.40,80.00,Gold
15.20,5.28,1.50,105.50,Gold
14.66,3.19,0.30,65.10,Gold
14.96,3.31,0.30,67.60,Gold
13.40,5.90,4.00,116.50,Gold
13.00,5.00,3.80,98.00,Gold
14.00,4.80,3.50,0.00,Gold
14.50,4.60,4.60,0.00,Gold
14.60,6.50,5.80,0.00,Gold
14.20,6.20,3.60,0.00,Gold
14.00,5.40,2.00,100.00,Silver
14.50,5.11,1.02,102.00,Gold
14.00,5.40,0.60,0.00,Gold
14.00,5.40,0.80,0.00,Gold
14.50,5.25,1.15,125.00,Gold
15.00,4.50,2.60,83.00,Gold
13.50,5.20,2.40,105.00,Gold
14.00,5.50,1.60,78.00,Gold
14.00,4.90,1.70,63.00,Gold
14.00,5.20,1.00,92.00,Gold
13.50,5.20,2.20,105.00,Gold
13.50,4.90,1.80,95.00,Gold
14.00,4.80,1.90,75.00,Gold
13.50,4.50,2.00,85.00,Gold
13.50,5.20,1.00,102.00,Gold
13.49,5.60,1.80,85.00,Gold
13.50,5.30,2.00,45.00,Gold
14.00,4.50,1.60,67.00,Gold
14.00,5.70,1.60,88.00,Gold
14.00,6.30,1.50,60.00,Gold
13.50,5.20,2.00,89.00,Silver
13.91,5.48,1.80,80.00,Silver
13.50,5.36,2.50,90.00,Gold
15.00,5.40,2.40,90.00,Silver
13.50,5.00,4.00,150.00,Gold
13.50,4.90,2.69,92.00,Gold
13.50,5.30,2.00,45.00,Gold
14.34,3.04,0.61,67.00,Gold
14.00,5.80,0.00,135.00,Gold
13.00,6.00,0.00,148.00,Silver
14.79,3.39,0.80,14.00,Silver
14.00,5.00,2.40,75.00,Gold
14.00,5.00,2.40,75.00,Gold
14.00,5.00,2.40,75.00,Gold
14.00,5.00,2.40,75.00,Gold
14.00,5.00,2.20,42.00,Gold
13.00,6.06,2.28,87.00,Silver
13.41,5.40,2.30,133.00,Gold
13.59,4.90,0.40,146.00,Gold
13.50,5.10,2.20,92.00,Gold
14.00,6.30,5.70,83.00,Silver
14.50,5.30,2.10,86.00,Gold
13.57,5.00,12.10,108.00,Gold
13.94,6.20,6.20,80.00,Gold
14.50,3.42,2.00,0.00,Gold
14.50,5.37,0.60,108.00,Silver
13.67,2.92,1.34,62.00,Gold
14.50,5.40,5.10,108.00,Gold
13.50,3.72,3.09,0.14,Gold
13.50,3.70,3.29,0.10,Gold
18.50,5.70,5.00,31.00,Gold
14.00,5.40,2.60,126.00,Gold
14.00,5.68,2.10,45.06,Gold
14.77,6.10,7.00,115.00,Gold
13.50,5.00,3.50,110.00,Gold
14.00,5.00,4.90,92.00,Gold
13.91,6.00,0.20,85.00,Silver
14.00,5.70,3.50,0.00,Silver
14.00,5.00,3.90,115.00,Silver
13.50,5.00,6.00,100.00,Gold
14.00,5.30,3.90,110.00,Silver
14.27,0.62,0.51,10.00,Gold
14.50,5.80,2.00,80.00,Gold
14.55,5.00,0.16,54.00,Gold
15.50,5.20,0.36,50.00,Gold
15.00,4.92,0.80,46.00,Gold
13.90,5.20,7.80,130.00,Gold
13.90,5.43,1.90,130.00,Gold
13.00,4.90,5.32,82.00,Gold
14.50,5.80,1.43,34.20,Gold
14.00,5.70,13.00,140.00,Gold
14.00,5.50,5.60,130.00,Gold
14.00,5.65,4.00,85.00,Silver
15.00,5.77,5.80,57.00,Gold
14.37,3.20,0.93,71.00,Gold
13.00,5.70,3.50,83.00,Silver
14.40,5.10,3.20,72.00,Gold
14.60,5.10,7.00,70.00,Gold
14.60,5.10,7.00,110.00,Gold
14.70,6.60,7.80,104.00,Grand Gold
14.00,4.94,4.50,76.00,Gold
14.50,4.69,2.40,54.00,Gold
12.74,5.20,1.10,87.00,Gold
13.53,6.00,2.20,124.00,Silver
13.95,5.90,0.10,74.00,Gold
14.00,5.67,0.60,67.00,Silver
13.90,3.12,19.80,100.00,Gold
13.83,2.91,5.44,75.00,Gold
14.00,6.15,1.60,88.00,Gold
15.50,0.00,1.00,56.00,Silver
14.50,4.94,1.00,53.00,Gold
14.41,5.05,0.30,83.00,Gold
13.38,5.05,0.20,117.00,Gold
14.00,5.14,2.40,52.80,Gold
14.50,6.03,15.10,0.00,Silver
14.00,5.20,3.80,138.00,Gold
14.58,5.00,2.20,136.00,Gold
13.50,4.80,0.40,113.00,Gold
14.50,6.10,0.60,122.00,Silver
14.50,5.73,1.78,90.00,Gold
13.50,4.80,2.10,65.00,Gold
15.00,4.60,2.00,46.00,Gold
14.50,5.40,2.00,45.00,Gold
14.00,5.40,2.00,43.00,Gold
14.38,3.27,0.00,85.00,Gold
14.30,5.50,11.00,90.00,Gold
13.70,5.50,3.20,127.00,Silver
13.50,5.45,3.70,85.00,Silver
14.44,5.30,1.80,99.00,Silver
14.50,5.00,2.50,110.00,Gold
13.28,5.30,0.00,95.00,Gold
14.00,5.00,2.50,110.00,Gold
13.70,4.90,4.00,100.00,Gold
13.42,5.08,0.60,78.00,Gold
12.20,5.30,4.00,125.00,Silver
14.00,5.00,1.40,104.00,Gold
14.00,4.80,2.50,120.00,Gold
14.00,4.80,2.50,120.00,Gold
15.00,5.70,3.70,95.00,Silver
15.00,5.40,2.30,87.75,Gold
15.00,6.00,2.00,75.00,Gold
14.50,5.40,4.98,92.00,Silver
13.50,5.90,0.70,0.00,Grand Gold
14.10,5.80,1.20,0.80,Gold
13.30,5.00,1.00,72.00,Gold
14.49,3.29,0.00,77.00,Silver
13.00,4.90,5.00,98.00,Gold
13.00,5.00,4.30,80.00,Silver
13.50,4.90,2.60,118.00,Gold
14.05,5.12,7.00,150.00,Gold
15.50,5.67,2.89,60.00,Gold
14.00,5.85,8.20,99.00,Gold
13.50,5.90,9.00,145.00,Gold
14.50,5.00,2.50,110.00,Gold
14.50,5.00,2.90,0.50,Silver
14.00,5.10,2.50,0.50,Gold
14.00,5.00,2.50,0.70,Gold
14.50,5.10,2.50,0.50,Silver
14.00,5.00,3.50,0.70,Gold
14.50,5.00,0.10,52.00,Gold
14.50,5.20,0.90,22.00,Gold
14.50,5.00,0.10,42.00,Gold
14.00,5.60,2.50,39.00,Silver
13.50,5.20,1.50,42.00,Gold
13.00,5.30,3.80,98.00,Gold
13.00,5.30,3.80,98.00,Gold
13.00,5.30,3.80,98.00,Gold
13.00,5.30,3.80,98.00,Gold
13.00,5.30,3.80,98.00,Gold
13.00,5.30,3.80,98.00,Gold
13.00,5.30,3.80,98.00,Gold
13.00,4.54,1.59,0.97,Gold
13.00,5.20,3.60,88.00,Gold
12.60,5.15,3.90,110.00,Silver
12.60,5.15,3.90,110.00,Silver
12.60,5.15,3.90,110.00,Silver
12.60,5.15,3.90,110.00,Silver
12.60,5.15,3.90,110.00,Silver
12.60,5.15,3.90,110.00,Silver
12.60,5.15,3.90,110.00,Silver
12.60,5.15,3.90,110.00,Silver
13.49,5.26,2.14,0.99,Silver
13.00,5.20,3.50,88.00,Gold
14.50,5.50,0.50,61.00,Gold
15.00,5.40,0.90,55.00,Gold
14.50,4.74,2.20,72.00,Gold
14.00,3.10,1.70,120.00,Gold
13.00,3.23,1.90,102.00,Gold
13.50,6.10,3.20,112.00,Gold
14.00,5.00,11.80,76.00,Gold
13.50,4.70,11.56,87.00,Gold
14.50,6.40,8.00,173.00,Gold
14.50,6.14,12.10,0.00,Gold
16.00,6.15,5.30,170.46,Silver
14.00,5.60,4.00,90.00,Silver
14.00,5.70,4.00,125.00,Gold
14.00,5.60,4.00,120.00,Silver
14.00,5.70,4.00,120.00,Gold
14.00,3.73,2.59,0.88,Gold
14.30,3.02,2.77,0.01,Gold
14.00,3.70,2.05,0.04,Gold
14.50,3.39,2.29,1.13,Gold
14.00,4.80,0.80,83.00,Silver
13.00,4.60,3.00,150.00,Gold
13.00,4.60,3.00,150.00,Gold
15.00,4.95,3.20,131.00,Gold
13.40,5.60,16.50,120.00,Silver
14.10,5.50,3.20,154.00,Gold
13.00,5.52,4.30,100.00,Gold
13.50,5.10,2.10,59.00,Gold
13.50,4.90,1.50,69.00,Gold
15.00,5.25,0.60,110.00,Silver
14.00,5.10,1.30,64.00,Silver
14.02,4.90,2.00,55.00,Gold
14.68,6.34,2.00,90.00,Silver
16.50,6.50,2.20,64.00,Gold
15.00,6.00,3.40,104.00,Gold
17.00,6.04,7.70,50.00,Gold
16.00,5.95,3.80,125.00,Grand Gold
17.00,5.97,7.50,0.00,Gold
15.00,5.60,5.50,103.00,Gold
14.00,5.40,7.40,56.00,Silver
13.00,4.87,4.40,102.00,Gold
14.68,4.53,3.80,115.00,Gold
13.91,5.42,2.50,140.00,Gold
15.00,4.70,0.60,54.00,Gold
14.38,3.30,0.62,55.00,Gold
14.50,3.84,0.90,69.00,Gold
13.50,5.70,8.43,140.46,Gold
13.50,5.28,11.00,120.00,Gold
13.50,5.86,1.00,110.00,Gold
13.85,3.25,2.70,94.00,Gold
13.90,5.00,0.90,75.00,Gold
14.50,5.02,1.10,96.00,Gold
14.50,4.90,4.00,0.00,Silver
14.50,5.07,1.60,85.00,Gold
14.05,5.44,2.06,101.00,Gold
14.50,5.10,0.60,61.00,Gold
14.50,3.18,0.30,57.00,Gold
14.00,3.18,0.20,55.00,Gold
14.00,3.18,0.30,58.00,Gold
14.50,4.90,2.60,9.00,Gold
14.00,3.40,0.30,99.00,Gold
14.00,3.40,0.20,91.00,Silver
14.00,5.80,1.53,44.00,Silver
13.50,4.80,2.60,68.00,Gold
13.66,5.20,3.60,95.00,Gold
12.50,5.05,4.00,130.00,Gold
14.50,5.80,0.40,60.00,Gold
12.50,5.05,4.00,130.00,Gold
