Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Bio,Medalla
Berlin -Edición de verano- 2022,125 gocce Malvasia Nera del Salento IGP,2021,Varvaglione Vigne e Vini,Italia,Apulien,Vino tranquilo,Semi seco,tanque de acero,tinto,Malvasia,"12,5","5,1",9,170,7,No,Gold
Berlin -Edición de verano- 2022,125 gocce Primitivo del Salento IGP,2021,Varvaglione Vigne e Vini,Italia,Apulien,Vino tranquilo,Semi seco,maduración en barrica - parcialmente,tinto,Primitivo,"12,5","5,5","9,5",150,7,No,Gold
Berlin -Edición de verano- 2022,VALLE PRADINHOS,2020,Maria Antónia Pinto de Azevedo Mascare,Portugal,Transmontano,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Trincadeira Preta, Tinta Roriz, Cabernet Sauvignon, Tourica National","14,7","5,5","0,6",51,14,No,Gold
Berlin -Edición de verano- 2022,La Baume Saint Paul Cabernet Syrah Vin Désalcoolisé,sin añada,Les Grand Chais de France Landiras,Francia,France,Vino tranquilo,Seco,tanque de acero,tinto,"Cabernet, Syrah",0,"3,71","63,3",130,"5,99",No,Gold
Berlin -Edición de verano- 2022,Garnacha Finca Los Frutales,2017,SESCA 2016 S.L.,España,Andalucía,Vino tranquilo,Seco,tanque de acero,tinto,Garnacha,"14,5","7,4","3,2",70,16,Sí,Gold
Berlin -Edición de verano- 2022,Blauer Zweigelt Saalhäuser,2020,Landesweingut Kloster Pforta GmbH,Alemania,Saale-Unstrut,Vino tranquilo,Seco,tanque de acero,tinto,Blauer Zweigelt,12,5,"0,1",81,"13,5",No,Gold
Berlin -Edición de verano- 2022,Spätburgunder,2019,Landesweingut Kloster Pforta GmbH,Alemania,Saale-Unstrut,Vino tranquilo,dulce,tanque de acero,tinto,Blauer Spätburgunder,13,"5,4","0,4",138,"13,5",No,Gold
Berlin -Edición de verano- 2022,Bream Creek Vineyard Reserve Pinot Noir,2021,Bream Creek Vineyard,Australia,Tasmanien,Vino tranquilo,brut nature,maduración en barrica - 100%,tinto,Pinot Noir,"14,5",7,0,110,40,No,Gold
Berlin -Edición de verano- 2022,Bream Creek Vineyard Estate Pinot Noir,2021,Bream Creek Vineyard,Australia,Tasmanien,Vino tranquilo,brut nature,maduración en barrica - 100%,tinto,Pinot Noir,14,"7,5",0,105,28,No,Gold
Berlin -Edición de verano- 2022,Château Cantin AOP Saint Emilion Grand Cru,2019,Château Cantin,Francia,Bordeaux,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Merlot,15,"3,6",1,80,"24,99",No,Gold
Berlin -Edición de verano- 2022,Corno Grande Premium Montepulciano d'Abruzzo,2020,Ettore Galasso SARL,Italia,Abruzzo,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Montepulciano d´ Abruzzo,"13,5","5,4","5,4",78,"6,99",No,Gold
Berlin -Edición de verano- 2022,Torre Galasso Premium Montepulciano d'Abruzzo,2020,Ettore Galasso SARL,Italia,Abruzzo,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Montepulciano d´ Abruzzo,"13,5","5,54","5,45",86,"7,99",No,Gold
Berlin -Edición de verano- 2022,Tanica n1 Montepulciano d'Abruzzo DOP Riserva,2017,Cantina Tollo,Italia,Abruzzo,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Montepulciano,14,"5,3","3,5",120,No especificado,No,Gold
